date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:41:57	62/62	---M--	200	added ('OK')	text/plain	etag:%220120da3dfb489e0823f7165c0b0cb03e%22	https://www.sweetgreen.com/robots.txt		(from )
22:41:58	52569/52569	---MCZ	200	added ('OK')	text/html	etag:W/%22f8dfcb1e85f890a102bc396bcb5dce4b%22	https://www.sweetgreen.com/	C:/Users/dell/Desktop/barath/food9/www.sweetgreen.com/index.html	(from )
22:41:59	13012/13012	---M-Z	200	added ('OK')	application/x-javascript	etag:0x8D9DD09DE21B094	https://cdn.cookielaw.org/consent/7654c64d-6cb0-446f-9169-1a62b112b69e/OtAutoBlock.js	C:/Users/dell/Desktop/barath/food9/cdn.cookielaw.org/consent/7654c64d-6cb0-446f-9169-1a62b112b69e/OtAutoBlock.js	(from https://www.sweetgreen.com/)
22:42:00	21748/21748	---M-Z	200	added ('OK')	application/javascript	etag:0x8DAB7C4F0198C8B	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Users/dell/Desktop/barath/food9/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.sweetgreen.com/)
22:42:00	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2027%20Oct%202022%2017:12:00%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/dell/Desktop/barath/food9/www.googletagmanager.com/gtm.25445.delayed	(from https://www.sweetgreen.com/)
22:42:02	53336/53336	---M--	200	added ('OK')	binary/octet-stream	etag:%22768b9d3347424bae78d45c986972c3fb%22	https://www.sweetgreen.com/static/fonts/Grenette-Light-Pro.woff2	C:/Users/dell/Desktop/barath/food9/www.sweetgreen.com/static/fonts/Grenette-Light-Pro.woff2	(from https://www.sweetgreen.com/)
22:42:03	26380/26380	---M--	200	added ('OK')	binary/octet-stream	etag:%2266e7aadd5d97afe0b074a4698982868c%22	https://www.sweetgreen.com/static/fonts/SweetSans-Regular.woff2	C:/Users/dell/Desktop/barath/food9/www.sweetgreen.com/static/fonts/SweetSans-Regular.woff2	(from https://www.sweetgreen.com/)
22:42:04	26028/26028	---M--	200	added ('OK')	binary/octet-stream	etag:%226c0708ad678eac141b367773087520cc%22	https://www.sweetgreen.com/static/fonts/SweetSansText-Regular.woff2	C:/Users/dell/Desktop/barath/food9/www.sweetgreen.com/static/fonts/SweetSansText-Regular.woff2	(from https://www.sweetgreen.com/)
22:42:06	57400/57400	---M--	200	added ('OK')	binary/octet-stream	etag:%22a317fe41b7ac8d10cea55060a799b823%22	https://www.sweetgreen.com/static/fonts/Grenette-Regular-Pro.woff2	C:/Users/dell/Desktop/barath/food9/www.sweetgreen.com/static/fonts/Grenette-Regular-Pro.woff2	(from https://www.sweetgreen.com/)
22:42:07	30001/30001	---MCZ	200	added ('OK')	text/css	etag:W/%228ec7032da1678e1ed37dd33a091a3d99%22	https://www.sweetgreen.com/static/css/screen.css?ts=2022-10-25T23:22:48.985Z	C:/Users/dell/Desktop/barath/food9/www.sweetgreen.com/static/css/screend296.css	(from https://www.sweetgreen.com/)
